mOBJECTID,STATEFP,CD119FP,GEOID,GEOIDFQ,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OFFICE_ID,BIOGUIDE_ID,OFFICE_AUDIT_ID,PREFIX,FIRSTNAME,MIDDLENAME,LASTNAME,SUFFIX,LISTING_NAME,PHONE,WEBSITEURL,VACANT,CONTACTFORMURL,PHOTOURL,FACE_BOOK_URL,TWITTER_URL,YOUTUBE_URL,INSTAGRAM_URL,FLICKR_URL,PARTY,DISTRICT,STATE,VACANCY,ROOM_NUM,HOB,COMMITTEE_ASSIGNMENTS,LAST_UPDATED,Shape__Area,Shape__Length
1,01,01,0101,5001900US0101,Congressional District 1,C2,119,G5200,N,18753464839,2274273696,+31.0328895,-086.7989750,AL01,M001212,00010965,Mr. ,Barry,,Moore,,"Moore, Barry",52901,https://barrymoore.house.gov,N,https://barrymoore.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/al02_moore.jpg,https://www.facebook.com/RepBarryMoore/,https://x.com/repbarrymoore,,https://www.instagram.com/repbarrymoore,,R,01,,,1504,LHOB,Appropriations;Natural Resources,,28726339726.4082,1538555.73153839
2,01,02,0102,5001900US0102,Congressional District 2,C2,119,G5200,N,24514317067,234734076,+31.7619148,-086.6281876,AL02,F000481,00010966,Mr. ,Shomari,,Figures,,"Figures, Shomari",54931,https://figures.house.gov/,N,https://figures.house.gov/contact,https://ziplook.house.gov/zip/pictures/al02_figures.jpg,https://www.facebook.com/congressman.shomari.figures,,,,,D,02,,,225,CHOB,Agriculture;the Judiciary,,34338167972.9707,1746535.87670029
3,01,03,0103,5001900US0103,Congressional District 3,C2,119,G5200,N,17327582348,466368976,+33.4140097,-085.7577724,AL03,R000575,00006997,Mr. ,Mike,,Rogers,,"Rogers, Mike",53261,https://mikerogers.house.gov/,N,https://mikerogers.house.gov/contact/,https://ziplook.house.gov/zip/pictures/al03_rogersmike.jpg,https://www.facebook.com/CongressmanMikeDRogers/,https://twitter.com/repmikerogersal,https://www.youtube.com/user/MikeRogersAL03,https://www.instagram.com/repmikerogersal/,,R,03,,,2469,RHOB,Armed Services,,25607990076.5938,956459.684070739
4,01,04,0104,5001900US0104,Congressional District 4,C2,119,G5200,N,22351892592,578754652,+34.1302579,-087.2816902,AL04,A000055,00004973,Mr. ,Robert,B.,Aderholt,,"Aderholt, Robert",54876,https://aderholt.house.gov/,N,https://aderholt.house.gov/contact-robert,https://ziplook.house.gov/zip/pictures/al04_aderholt.jpg,http://www.facebook.com/RobertAderholt?ref=ts,https://twitter.com/Robert_Aderholt,https://www.youtube.com/user/RobertAderholt,https://www.instagram.com/robert_aderholt/,,R,04,,,266,CHOB,Appropriations,,33543544298.625,1461307.29249636
5,01,05,0105,5001900US0105,Congressional District 5,C2,119,G5200,N,10105546447,427050369,+34.6916846,-086.6808412,AL05,S001220,00010727,Mr. ,Dale,W.,Strong,,"Strong, Dale",54801,https://strong.house.gov,N,https://strong.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/al05_strong.jpg,https://www.facebook.com/profile.php?id=100089232983760,https://x.com/RepDaleStrong,https://www.youtube.com/channel/UCyX5utYifGwC4y2MnUYd5cw,https://www.instagram.com/repdalestrong/,,R,05,,,1337,LHOB,"Armed Services;Homeland Security;Science, Space, and Technology",,15617269500.6484,702797.87676883
6,01,06,0106,5001900US0106,Congressional District 6,C2,119,G5200,N,11521569031,275076296,+32.9569426,-086.5932304,AL06,P000609,00010177,Mr. ,Gary,J.,Palmer,,"Palmer, Gary",54921,https://palmer.house.gov/,N,https://palmer.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/al06_palmer.jpg,https://www.facebook.com/CongressmanGaryPalmer/,https://twitter.com/USRepGaryPalmer,https://www.youtube.com/channel/UCYZfP-cNIvlJY3AcAc9OPpQ,https://www.instagram.com/repgarypalmer/,,R,06,,,170,CHOB,Energy and Commerce;Oversight and Gov Reform,,16804142872.6484,1026781.08195611
7,01,07,0107,5001900US0107,Congressional District 7,C2,119,G5200,N,26611189622,325555643,+32.5071166,-087.6141045,AL07,S001185,00009590,Ms. ,Terri,A.,Sewell,,"Sewell, Terri",52665,https://sewell.house.gov/,N,https://sewell.house.gov/email-me,https://ziplook.house.gov/zip/pictures/al07_sewell.jpg,https://www.facebook.com/RepSewell,https://twitter.com/RepTerriSewell,http://www.youtube.com/RepSewell,http://www.instagram.com/repterriasewell,http://www.flickr.com/photos/repsewell/,D,07,,,1035,RHOB,Armed Services;House Administration;Joint Library;Ways and Means,,37993343016.9961,1524325.46382799
8,02,00,0200,5001900US0200,Congressional District (at Large),C1,119,G5200,N,1479508971743,244710526650,+63.3473560,-152.8397334,AK00,B001323,00010964,Mr. ,Nicholas,J.,Begich,III,"Begich, Nicholas",55765,https://begich.house.gov/,N,https://begich.house.gov/contact,https://ziplook.house.gov/zip/pictures/ak00_begich.jpg,https://www.facebook.com/RepNickBegich,https://x.com/RepNickBegich,,https://www.instagram.com/RepNickBegich/,,R,00,,,153,CHOB,Natural Resources;Transportation,,9016848350083.34,36028525.9380232
9,04,03,0403,5001900US0403,Congressional District 3,C2,119,G5200,N,533196526,1552135,+33.4240875,-112.1217241,AZ03,A000381,00010967,Ms. ,Yassamin,,Ansari,,"Ansari, Yassamin",54065,https://ansari.house.gov/,N,https://ansari.house.gov/contact,https://ziplook.house.gov/zip/pictures/az03_ansari.jpg,https://www.facebook.com/repyassansari/,https://x.com/RepYassAnsari,https://www.youtube.com/@RepYassAnsari,https://www.instagram.com/repyassansari/,,D,03,,,1432,LHOB,Armed Services;Natural Resources,,769717774.417969,157297.018369248
10,04,09,0409,5001900US0409,Congressional District 9,C2,119,G5200,N,60163689718,377910946,+34.6023415,-113.6633198,AZ09,G000565,00010736,Mr. ,Paul,A.,Gosar,,"Gosar, Paul",52315,https://gosar.house.gov/,N,https://gosar.house.gov/contact/,https://ziplook.house.gov/zip/pictures/az09_gosar.jpg,https://www.facebook.com/REPGOSAR,https://twitter.com/REPGOSAR,https://www.youtube.com/channel/UC5orqw_9acsKWSRbrqTDXBw,https://instagram.com/REPGOSAR,https://www.flickr.com/photos/repgosar,R,09,,,2057,RHOB,Natural Resources;Oversight and Gov Reform,,89790015413.4844,2498921.93869012
